timestamp,accX,accY,accZ,gyroX,gyroY,gyroZ
36562,-0.0383,0.3543,21.1456,-3.1128,12.3301,-3.7842
36581,2.7725,-0.1053,21.1935,-3.0670,14.2455,-3.5858
36600,2.7581,0.3831,21.2557,-2.6703,9.9359,-3.7231
36620,-0.0575,0.3496,21.1743,-2.6550,10.0556,-3.3569
36639,-0.0287,0.3735,21.5813,-3.2349,12.4498,-3.7079
36658,-0.0575,0.3735,21.2461,-2.8534,11.3725,-3.7689
36677,2.7581,0.3879,-0.1101,-2.7008,9.4571,-3.6316
36696,-0.1053,-0.1053,21.2749,-2.8992,9.8162,-3.7689
36715,-0.0192,0.4357,21.2461,-3.1433,14.1258,-3.6163
36734,-0.1149,-0.1484,-0.1437,-2.8687,9.9359,-3.6316
36753,-0.0910,0.3879,21.2797,-2.6398,8.9783,-3.4180
36772,-0.1341,0.3543,-0.1101,-2.6398,8.9783,-3.5858
36791,-0.1006,-0.1389,21.2509,-2.8687,11.0133,-3.8452
36810,-0.1245,0.3543,21.2318,-3.4027,14.3652,-3.6011
36829,-0.0958,0.3687,-0.1245,-2.5482,8.9783,-3.3417
36848,-0.1101,0.4262,21.2749,-2.7618,12.6893,-3.7994
36867,-0.0527,-0.0287,21.2078,-2.8534,14.4849,-3.4943
36886,2.7821,-0.0814,21.2222,-2.8839,10.8936,-3.7231
36905,-0.0239,-0.0622,-0.0096,-2.7161,7.0629,-3.6011
36924,-0.1101,0.3448,-0.1197,-2.4872,8.3797,-3.4180
36943,-0.0527,-0.1437,20.9588,-2.9144,9.2177,-3.5706
36962,2.7581,-0.1532,21.5095,-3.0975,14.3652,-3.4943
36981,-0.0239,0.3926,-0.0958,-3.2654,13.0484,-3.6469
37000,2.7773,0.4070,21.2509,-2.8992,10.0556,-3.4637
37020,-0.1437,0.4070,21.1935,-2.6550,10.5345,-3.6774
37039,-0.1197,-0.0718,21.1983,-2.7008,10.6542,-3.4485
37058,-0.1101,0.4166,-0.1484,-2.4109,9.9359,-3.6011
37077,-0.0527,0.3974,21.2892,-2.9755,9.2177,-3.5553
37096,-0.0479,0.4501,-0.1389,-2.8687,10.8936,-3.4332
37115,-0.0862,-0.1101,21.2126,-2.9144,11.3725,-3.7384
37134,2.5809,0.4549,-0.0287,-3.1891,11.6119,-3.6926
37153,-0.0718,0.3735,-0.0718,-2.5177,10.1754,-3.6621
37172,-0.0862,-0.1341,-0.0622,-2.5787,9.8162,-3.3112
37191,2.7869,0.4310,21.2892,-2.3499,10.6542,-3.6469
37211,2.7821,0.4070,21.2653,-2.7313,8.9783,-3.6621
37231,-0.1053,-0.1484,-0.0958,-2.9297,9.5768,-3.5706
37250,-0.0048,-0.1293,21.2318,-2.7466,8.9783,-3.7231
37269,-0.1245,-0.1484,21.2078,-3.0060,14.3652,-3.4332
