timestamp,accX,accY,accZ,gyroX,gyroY,gyroZ
3275,1.8818,-0.0335,23.3339,-0.6409,-12.6893,-1.2054
3294,1.9441,-0.1341,19.9772,-1.3123,-13.5272,-0.9918
3313,3.4141,1.9297,-0.0766,-1.8768,73.1429,-3.8757
3332,1.6472,-2.6480,24.0330,0.0000,-24.8997,-0.8392
3352,-0.0192,-0.5076,-0.0239,-1.2512,-122.3437,-9.7961
3371,-0.1437,1.9680,21.2892,0.0458,-14.0061,-1.0529
3390,-0.0910,-1.4030,23.0514,9.7198,-11.4922,5.5084
3409,-0.0335,-0.6033,-0.0766,1.0834,-14.4849,-6.4545
3428,-0.1532,-0.0239,20.3028,-1.4343,-1.4365,-18.4021
3447,1.2929,-0.0144,-0.0144,1.9073,132.5191,-1.2207
3466,2.2027,-0.8188,20.3124,-3.8757,-1.4365,-0.0610
3485,4.0989,3.0981,20.0107,-0.4578,-4.4293,-0.8850
3504,1.8771,0.1101,-0.1053,-1.4191,-12.3301,5.2643
3523,-0.0958,-2.0734,-0.0239,0.9308,75.2976,-0.7172
3542,4.2952,-0.5315,21.1552,8.0414,-7.7812,-14.4501
3561,-0.0622,-1.0965,22.7593,-1.6327,-18.5551,-3.0975
3599,-0.1437,-0.0239,-0.0862,-0.0153,-11.1330,-1.9379
3619,1.9249,-0.1197,-0.1006,8.0719,-5.8658,1.2512
3638,-0.0766,-0.1628,20.0490,-10.8337,-82.6000,-11.4136
3657,2.7773,-0.1245,-0.0239,-1.5411,31.6035,-0.1221
3676,-0.1245,-2.4038,23.0657,4.9591,124.8576,-1.2207
3695,1.3168,-0.1437,20.2262,1.6632,-14.6046,-9.9030
3714,-0.0287,0.6847,-0.0479,-1.3733,-46.0884,-14.8163
3752,-0.0814,-0.0814,-0.0144,-1.0529,73.7414,-1.4191
3772,0.9864,-1.1301,21.8064,-1.4648,96.2469,-1.8921
3791,-0.0431,-2.0303,-0.0718,4.5776,62.0098,-0.2747
3810,-0.0096,0.1053,20.0107,-7.6599,-150.1164,-1.6632
3829,-0.1101,3.1987,21.5670,-1.0834,-46.6869,-11.1084
3848,-0.1532,-0.4693,-0.0958,-0.1068,-2.0351,8.4839
3867,-0.0814,-0.0718,19.6803,0.0916,-9.5768,-1.1444
3886,0.4549,-1.1779,-0.1437,-0.5188,5.3870,-7.7209
3905,-0.0096,0.6225,21.2605,-10.4523,-12.0907,-3.2654
3924,5.5210,-0.1101,-0.0335,-0.3815,-13.7667,-7.0343
3962,-0.0958,-0.0096,23.1232,-1.6785,-8.6191,5.4779
3981,1.9537,-0.1389,20.6428,0.5188,-59.8550,-1.2360
4000,4.6400,-0.1484,23.0179,-0.7172,-12.6893,-6.3782
4019,4.0941,-0.0335,-0.0096,-0.2289,4.7884,-6.5460
4038,2.2410,-0.0862,-0.1532,-0.7629,105.7040,-2.7618
4057,2.2314,-2.4421,-0.0910,1.3733,-13.1681,9.2773
4076,-0.1245,-0.0527,-0.1532,4.2725,-11.4922,-1.8005
4095,3.5003,-0.1101,-0.1389,8.4076,-54.8272,-14.0381
4114,2.8299,1.6759,21.1839,-1.6327,-29.6881,-0.3815
4133,4.6878,1.9345,-0.1053,-0.4578,37.8284,-1.8463
4152,2.1835,-0.1293,22.4816,-10.1013,160.4115,5.7526
4172,1.3072,-1.4461,21.5909,-0.9155,73.3823,8.2397
42,-0.0670,-0.1053,-0.0527,0.6714,-2.2745,-1.0376
61,-0.1245,-1.3934,22.1368,-0.7324,-52.7921,-1.0834
80,-0.0192,0.3974,-0.0239,-0.1068,-113.8443,-10.3760
99,-0.0766,1.8723,22.4002,-1.0681,-22.9843,-0.2594
118,-0.0766,1.6759,-0.1437,-13.9465,-12.4498,-1.2665
137,-0.0012,-0.1006,-0.0192,-11.6425,-4.7884,-3.3722
156,-0.0383,-0.0239,23.3004,0.9155,161.2495,-0.5035
175,3.1747,-0.0575,20.5710,-1.1292,-60.6930,-5.9052
194,4.7022,2.4995,-0.1245,-6.3934,-0.9577,-1.2665
213,-0.1101,-0.0575,23.4153,-7.6752,-10.4148,-0.8698
232,1.5850,-0.8284,19.6277,-0.5035,94.9301,-0.1984
270,-0.1341,-0.0622,22.1847,-0.4730,37.2298,-1.2054
289,1.8387,1.3120,-0.1532,-1.9531,-2.0351,-13.7634
308,-0.0958,-0.0958,-0.0096,-10.5743,12.4498,-7.2784
327,0.0000,-0.9002,-0.0575,-1.6479,75.1779,8.8806
346,2.2410,-0.0670,19.3308,-2.7161,-8.2600,-3.2196
365,-1.1253,-1.8004,-0.1245,-1.0376,-12.4498,-2.8687
384,2.4708,-0.1245,22.1607,0.9460,-6.2249,-0.2136
403,-0.1053,-0.1197,20.3507,-2.9907,-13.7667,-0.1831
422,3.7589,-0.0431,-0.1006,-1.6632,-10.2951,-6.6223
441,-0.0048,0.4405,20.3316,-0.2899,-3.8307,-1.3275
460,1.9441,-0.1245,-0.0335,-2.1515,7.4220,-2.2430
479,-0.0910,-2.0207,-0.0766,9.4604,-11.2527,-3.5706
498,-0.0335,-0.1293,-0.0527,-0.0153,-78.0510,-3.7537
517,-0.1006,3.6871,-0.1197,-1.8158,-2.8730,-13.8550
536,-0.0239,-0.1341,23.7218,-10.7574,104.3872,-0.6104
555,1.5467,-0.0862,-0.1389,-2.8992,99.2397,4.2572
574,-0.1006,-1.3982,21.2031,-1.9379,-1.7957,-1.5869
593,-0.0814,-0.1053,23.0466,9.0942,-22.5055,-3.5553
612,-0.1484,0.7326,-0.0431,-9.9030,-15.2032,-1.2360
631,-0.1197,3.4620,21.2845,-6.9275,3.9504,-11.0016
650,2.7773,-0.0383,22.7689,-11.0931,-12.3301,-1.0223
669,-0.1532,0.0383,-0.0910,-3.7842,63.4463,-0.5035
688,-0.0383,-1.1492,22.1128,-1.7242,-5.3870,-3.2959
707,2.1739,-0.0287,-0.1149,-1.3733,-0.5986,-3.2196
726,-0.1245,-0.1006,19.1249,-1.9531,-115.8794,-13.9465
745,4.0462,2.1835,-0.0718,-11.5509,31.9626,-2.4261
764,1.5802,-0.1006,-0.1101,1.3123,91.9373,9.6130
784,-0.0192,-0.1053,19.7091,-1.4801,5.8658,-0.8392
803,-0.4980,-1.4557,-0.1484,1.3123,94.9301,-1.4801
822,3.3758,1.2546,-0.1101,-1.1292,-0.9577,-1.6479
841,5.5498,3.1891,19.1009,-14.6790,-78.4101,-1.7700
860,2.4804,-0.8140,-0.1389,-7.7515,127.1321,5.3253
879,-0.0431,-0.0527,-0.0479,-1.6022,-3.1125,-0.1221
898,1.9872,-0.0862,-0.0814,0.0000,-87.8672,-9.8724
917,5.3247,0.3496,-0.0383,16.5710,-87.6278,-1.8463
936,4.4388,0.9337,-0.1437,-1.1139,-58.2988,-6.5918
955,6.2153,-0.0622,19.7139,-0.3357,-50.7571,-9.9945
974,-0.0814,-0.1484,-0.1053,-7.6447,162.8057,5.7526
993,-0.1293,-0.0622,-0.0766,-1.2207,103.3098,-1.8921
1012,0.3400,-1.0870,-0.0766,-0.8850,-15.3229,-1.8311
1031,3.0933,-1.2115,22.7018,-1.9379,-7.0629,-6.7444
1050,4.1324,-0.1149,-0.0239,-13.9771,-28.8501,-0.9155
1069,5.0182,-0.1389,-0.0527,-0.9918,-19.0339,-10.8337
1088,-0.0144,-0.0479,-0.1484,-3.8452,157.8976,8.0109
1107,2.1739,-1.2210,-0.0958,-0.1526,37.5890,0.8850
1126,3.4333,-0.0287,-0.1245,-2.1057,-3.4716,-0.9308
1145,2.5714,0.9385,-0.0239,-9.8267,-12.2104,-3.8300
1164,2.1931,-0.8715,-0.0862,-14.0228,-9.3374,-0.4272
1183,-0.2011,-0.1532,-0.0910,-1.8921,71.1078,-0.3052
1202,-0.1532,-0.5219,-0.1532,8.3618,-9.9359,-3.4790
1221,2.2841,1.5610,-0.1197,-18.1732,-4.7884,-0.3204
1240,2.5570,-0.1245,-0.0096,-14.5111,61.2916,-1.8616
1259,-0.0048,-0.0862,-0.1437,-0.6409,157.2991,-1.0529
1278,1.9154,-0.0622,20.2645,0.1068,-49.4403,-0.6409
1297,3.8259,-0.1197,20.6572,-10.0861,-1.5562,-14.6790
1316,-0.0144,-2.6719,23.6978,-1.4801,190.9376,-0.3662
1335,1.8387,-0.1532,20.6237,4.6082,-1.0774,-6.4240
1354,-0.1532,-0.1149,-0.1149,-1.2817,-0.1197,-15.0757
1373,1.8579,-2.6624,23.3722,-1.9531,-0.5986,-1.7853
1392,2.2266,-0.0670,20.6620,-0.4883,-51.1162,-7.7515
1411,4.0127,-0.0431,-0.0575,-1.3580,0.1197,-13.8397
1430,-0.0718,-2.0111,-0.1484,1.3580,164.7211,9.3842
1449,1.9728,-0.8906,20.5662,-0.1678,-109.0559,-7.7057
1468,-0.0718,-0.1293,-0.0048,-1.4496,40.3423,-10.2844
1487,1.0247,-2.6767,-0.1053,4.5471,129.6460,-1.1902
1506,1.5323,-0.8140,-0.1101,-1.6937,-1.3168,-10.8795
1525,4.0031,-0.0479,21.1600,-0.0153,-11.6119,-1.3885
1544,-0.0670,-0.0383,-0.0144,0.4578,106.7814,-1.3428
1563,-0.0048,-0.1484,-0.0287,-0.9308,-48.1235,-0.5646
1582,4.1324,-0.0718,21.8878,1.6785,-86.6701,-10.1166
1601,-0.0958,-0.0718,20.9780,-1.1444,98.0426,-0.6866
1620,1.0582,-0.7757,20.3220,-1.4496,-7.0629,-1.2207
1639,-0.1341,-0.1149,22.5007,-2.6855,-5.1475,-6.3019
1658,-0.1437,-0.0144,-0.0862,-1.9073,-8.8585,-0.4120
1677,0.3352,-0.2634,20.3220,0.7629,-15.2032,-0.6561
1696,-0.1006,-0.5028,-0.1484,8.3160,-61.0521,-0.2441
1715,3.0789,-0.0048,19.3930,-0.8850,-2.0351,3.9215
1734,-0.1341,-0.1245,20.6476,1.8921,-5.0278,-3.5706
