accX,accY,accZ,gyroX,gyroY,gyroZ,label
0.972,2.2793,-0.1484,-0.5035,-52.6724,-1.297,normal
-0.0048,-1.4222,21.7824,-0.3815,44.4124,-0.9308,normal
3.3758,-1.1061,-0.0814,0.3967,14.7243,-3.2806,normal
-0.0958,-0.0766,23.3435,8.2397,-9.8162,-1.1444,normal
-0.1149,-0.1532,-0.1532,-0.0153,-5.9855,1.358,normal
4.0797,-0.067,20.3076,-1.0376,-50.6374,-0.2747,normal
1.8675,2.2505,-0.0862,-0.9918,-12.3301,-1.6785,normal
-0.0958,-0.6129,-0.0192,-1.1902,-8.0206,-3.891,normal
1.5754,0.0766,21.5909,0.4578,-3.8307,-0.2441,normal
-0.0144,-0.1532,23.6787,-0.9918,93.2542,-1.3733,normal
-0.0335,-2.6863,19.6229,5.8136,43.4548,1.1292,normal
-0.0575,0.0383,-0.1484,-0.9155,-20.231,-3.0212,normal
2.7677,-0.1053,23.3099,5.4016,91.9373,5.4932,normal
3.6871,-0.0431,-0.1006,-1.5717,33.9977,-0.0458,normal
2.1739,1.6759,21.8495,-10.1929,-49.7994,-6.1798,normal
3.1556,-0.0479,22.0745,-0.0305,45.2504,-1.0376,normal
4.027,-0.1293,-0.0575,-1.7242,-23.942,-1.5106,normal
-0.1389,-0.5363,23.0897,5.0354,-25.1391,-1.8616,normal
-0.0766,-0.0383,-0.0814,-1.8463,68.5939,8.0261,normal
4.3431,-0.158,19.6564,-1.1139,5.1475,-0.7629,normal
2.2649,0.1389,-0.0431,-0.0763,3.4716,-1.4191,normal
-0.0718,1.6185,20.0012,-11.3525,-14.0061,-0.9613,normal
-0.0958,-0.091,20.3028,-13.9923,-4.549,-1.4343,normal
0.9433,-0.1484,23.6068,-1.0986,64.1646,-0.7935,normal
-0.0862,-2.624,-0.0096,-1.9531,44.4124,0.9918,normal
1.6041,-0.1245,21.8351,-1.2512,-3.2322,-2.1667,normal
2.2314,-0.0335,-0.0622,-0.473,76.2553,-0.2899,normal
5.0278,1.9058,-0.1389,-0.9155,-24.1814,-0.5951,normal
-0.0958,1.9393,22.6875,-0.1221,-59.9748,-10.6659,normal
2.5809,-0.1389,-0.091,4.3488,35.0751,-1.4954,normal
3.3806,-1.2019,-0.0814,0.6256,-3.4716,-1.8005,normal
-0.091,-0.8045,-0.1197,-0.6409,7.7812,0.351,normal
-0.1149,-0.1532,-0.1341,-1.8463,-7.6614,-1.4191,normal
-0.0479,2.8012,-0.1245,-1.236,-5.387,-14.5111,normal
-0.1437,1.2833,-0.0527,-1.8616,-9.5768,-0.5951,normal
-0.1341,-1.7526,-0.0958,1.6479,44.173,-1.7395,normal
1.3695,-0.1915,-0.1437,-0.6256,-2.5139,-3.5706,normal
1.9154,-0.0287,22.7689,-0.473,94.8104,-1.5564,normal
-0.1149,1.3312,-0.0383,-1.1444,-1.9154,-10.4065,normal
-0.0479,2.4804,22.4337,-0.412,-77.4524,-11.2762,normal
-0.1101,-1.4605,21.883,-1.8005,45.6095,1.8616,normal
-0.0479,-0.0096,19.6468,-0.5035,-12.9287,-0.885,normal
-0.2203,-1.087,23.377,4.6844,-25.2588,1.6022,normal
-0.1293,0.1101,-0.1101,1.358,68.3545,-0.7019,normal
-0.0335,2.4756,-0.0814,-14.1602,-3.2322,-0.0458,normal
2.2601,1.6712,-0.0144,-5.9357,-6.2249,-1.6632,normal
4.0127,-0.0287,-0.1053,-3.3875,-6.3446,-0.5951,normal
1.9297,-0.1389,-0.1484,0.6104,-5.0278,-0.9155,normal
-0.0335,-1.1827,-0.067,8.8196,102.5915,-1.8463,normal
3.5099,-0.4741,-0.1341,-2.0752,34.9553,-1.236,normal
1.3455,-0.1101,-0.0575,-10.1929,-80.6846,-0.4425,normal
3.395,0.6752,22.0985,-7.0953,-0.9577,-0.6104,normal
-0.073,-0.1197,-0.1101,-1.5411,-26.2165,-1.5106,normal
1.2977,-0.0766,-0.0862,-3.5095,-53.271,-0.6409,normal
1.585,-2.3367,-0.1293,-0.8392,64.404,-1.9379,normal
3.1891,-0.2107,-0.0766,-0.5188,-5.0278,-2.7161,normal
-0.0383,-0.1437,-0.0862,-1.8311,-12.5696,-0.6866,normal
-0.0862,2.1596,-0.1484,-0.2441,-0.9577,-0.7782,normal
-0.0479,-0.0048,-0.1293,-0.3815,-50.0388,-15.1672,normal
1.3264,-0.6081,23.7313,4.3182,42.2577,-0.8698,normal
3.8211,-1.47,19.4409,-1.6327,44.0533,-1.0681,normal
-0.1006,-0.1389,21.883,1.2512,-2.6336,-1.297,normal
1.8675,-1.1061,-0.0527,-0.2899,94.6907,-0.6409,normal
-0.1389,-0.0192,-0.1006,-0.351,1.3168,-6.8054,normal
-0.1389,-0.1006,-0.1101,-0.9613,-6.9432,-1.6327,normal
2.9066,-1.4365,22.1128,-2.3346,34.3568,0.6866,normal
-0.0958,-0.0527,-0.067,-1.0223,-16.8791,-0.5035,normal
0.34,-0.0814,-0.1484,-1.2054,-4.1899,-3.5858,normal
-0.1053,-0.1197,-0.1053,-1.8311,68.953,-1.6327,normal
3.6966,0.316,19.4409,-2.655,-2.9928,-0.8698,normal
-0.1532,0.1484,23.3195,1.5869,-13.1681,-1.0071,normal
-0.0766,1.6712,19.6803,-0.5798,33.6385,-3.067,normal
3.7781,2.2601,-0.1149,-0.2594,-14.8441,-13.8092,normal
1.0056,-0.0096,-0.1101,-0.9003,71.2275,-0.0916,normal
2.8539,-0.0048,19.4553,-0.9308,-1.1971,-1.8921,normal
1.6759,-0.0958,-0.0096,-0.3357,-24.3011,-2.4414,normal
-0.0862,-0.0239,22.4241,-3.0823,69.0727,0.9308,normal
-0.0527,-0.1389,-0.067,-1.9073,-29.0896,-1.0529,normal
-0.0096,0.9433,23.0418,-1.5564,-50.3979,-0.4272,normal
-0.1149,-2.0399,21.9022,8.8348,67.8756,4.4861,normal
4.1276,-0.8188,19.3404,-6.6986,-1.7957,-9.964,normal
-0.0958,-1.7526,23.3147,8.6823,3.2322,0.1221,normal
1.6472,-2.1356,21.8926,-0.824,-11.2527,5.4474,normal
3.371,-0.0575,19.982,-1.5717,12.6893,-2.9755,normal
-0.0862,0.9673,22.7353,-0.5188,-8.8585,1.236,normal
-0.0144,2.1883,-0.0287,-10.5743,-3.1125,-0.1373,normal
-0.1006,2.5618,-0.0383,-18.7683,-11.971,-1.8463,normal
-0.0718,-1.1444,23.7074,5.249,-6.5841,-1.2207,normal
2.7916,-0.1245,19.6947,-0.7324,34.3568,-0.7019,normal
-0.1437,-0.1101,21.5909,-1.0986,-29.8078,-2.0599,normal
2.2266,-0.0862,22.8263,4.9896,-3.4716,5.4169,normal
3.802,0.6656,19.1249,-2.0142,-6.7038,-1.6479,normal
1.9201,-0.1532,-0.1197,-1.3275,-6.4643,-10.6506,normal
3.0933,-0.0096,22.0745,-2.0599,-4.4293,-0.2289,normal
-0.0766,-0.3017,19.1201,-1.6632,-1.7957,-0.824,normal
-0.0575,-1.1588,-0.0958,-0.7477,-19.0339,-3.7384,normal
-0.091,-0.091,-0.067,12.0697,-11.7316,-1.5259,normal
4.1132,1.3216,19.9198,-0.6866,8.4994,-1.7548,normal
1.6041,0.316,-0.091,-1.2512,11.4922,1.4801,normal
2.8683,0.316,-0.1293,-1.0223,73.0232,4.9896,normal
3.8211,0.6704,-0.1149,-0.9308,-10.1754,-2.6703,normal
-0.0479,1.9106,22.697,-0.3357,3.1125,-2.9144,normal
4.3622,-0.0766,-0.0718,-10.5591,31.8429,-1.0986,normal
2.5809,-0.067,-0.0096,-11.1542,-54.7075,-1.6022,normal
-0.0383,-1.4605,23.3052,7.843,93.8527,-1.0071,normal
