accX,accY,accZ,gyroX,gyroY,gyroZ,label
-0.1101,-0.1101,-0.0622,-2.4414,9.2177,-3.418,fault
-0.0814,0.3304,-0.1484,-2.6855,10.0556,-3.6011,fault
-0.1149,-0.1437,21.2605,-2.7161,12.9287,-3.5858,fault
-0.0479,0.3926,21.2749,-2.6703,8.4994,-3.4485,fault
-0.0239,0.3352,-0.1437,-2.7466,13.2878,-3.5706,fault
2.7964,0.3591,-0.1437,-3.2654,10.4148,-3.6316,fault
-0.0048,0.4214,-0.0527,-3.0823,12.4498,-3.6316,fault
-0.0622,0.4214,21.2653,-2.9144,13.4075,-3.7231,fault
2.7869,0.3974,21.2222,-3.1281,13.4075,-3.7842,fault
2.5474,-0.1245,-0.067,-3.1281,-14.6046,-3.6926,fault
-0.0383,0.4262,21.2222,-3.479,13.6469,-3.7231,fault
-0.0718,0.3687,21.2509,-3.0212,11.6119,-3.6316,fault
-0.0575,-0.0096,-0.1437,-2.8229,10.1754,-3.3112,fault
2.8826,0.3065,-0.0958,-2.5482,8.26,-3.4485,fault
-0.0622,0.407,-0.0048,-3.0823,9.5768,-3.6316,fault
-0.0479,0.4549,21.2509,-2.533,7.6614,-3.4332,fault
-0.0718,-0.1389,21.294,-2.7466,10.2951,-3.3112,fault
2.7725,0.3783,-0.0192,-2.9602,-12.5696,-3.6926,fault
2.8252,0.407,21.2749,-2.7924,10.7739,-3.4485,fault
-0.0766,-0.1245,-0.0814,-2.7466,7.3023,-3.3264,fault
-0.0383,0.3496,-0.0192,-3.479,11.0133,-3.7231,fault
-0.1484,0.3304,-0.1149,-3.3569,-14.7243,-0.0763,fault
-0.0622,0.3735,21.2222,-2.3346,10.5345,-3.7994,fault
-0.0048,0.3543,21.2174,-2.6703,8.3797,-3.7079,fault
-0.0335,0.3352,-0.1341,-2.4872,7.1826,-3.479,fault
-0.0527,-0.1006,21.227,-2.6703,10.2951,-3.7537,fault
2.7773,0.3591,-0.0144,-3.3417,-15.0835,-3.7994,fault
-0.1484,0.3783,-0.0096,-3.1891,13.0484,-3.5858,fault
2.7629,0.3974,-0.0622,-2.4872,8.3797,-3.54,fault
2.806,-0.1293,-0.1484,-2.4261,10.4148,-3.5095,fault
2.7629,0.3256,21.1456,-2.8534,9.2177,-3.8605,fault
-0.0048,-0.1437,21.2174,-2.6093,11.6119,-3.7689,fault
-0.0718,0.407,21.1935,-2.9602,13.8864,-3.9062,fault
2.8299,0.3639,21.2461,-3.0518,14.2455,-3.6926,fault
-0.0383,0.4357,-0.1437,-2.8534,15.2032,-3.6316,fault
2.7821,-0.0144,21.2414,-3.1128,-15.3229,-3.6469,fault
-0.0622,0.3879,-0.1197,-3.0518,12.6893,-3.4637,fault
-0.067,0.4357,-0.1101,-2.8381,-13.8864,-3.8452,fault
-0.0575,0.407,-0.0192,-2.8992,11.971,-3.4637,fault
-0.067,0.3304,21.2797,-2.533,9.5768,-3.6163,fault
-0.0287,0.4118,21.2845,-2.8992,9.3374,-3.2654,fault
-0.0096,0.4262,21.2557,-3.1586,-15.3229,-3.6469,fault
-0.0958,-0.1389,21.1935,-3.0518,14.6046,-3.83,fault
-0.0096,-0.1149,21.452,-3.067,12.5696,-3.5095,fault
-0.0479,-0.0479,-0.1006,-2.6855,10.1754,-3.8452,fault
-0.0431,0.3831,-0.067,-2.6703,9.6965,-3.5706,fault
-0.1006,0.3591,21.2892,-3.0212,14.9638,-3.7689,fault
-0.0814,-0.0958,-0.1341,-3.1891,-14.9638,-0.1678,fault
-0.0862,0.4214,21.2845,-3.1738,11.971,-3.9062,fault
2.6001,0.3543,-0.1532,-2.9907,12.809,-3.5858,fault
2.8204,0.431,21.2749,-2.3346,10.8936,-3.6621,fault
2.557,0.4022,-0.1437,-2.6093,10.0556,-3.6621,fault
2.8395,0.3256,21.2078,-2.8381,10.1754,-3.54,fault
-0.067,0.3352,-0.0575,-2.8381,10.1754,-3.7231,fault
-0.0622,-0.1484,-0.067,-3.3875,14.9638,-3.6469,fault
-0.1341,0.4118,21.2174,-3.1128,-14.6046,-3.7079,fault
-0.067,-0.0048,21.2797,-2.8992,14.4849,-3.8147,fault
2.7916,0.4262,-0.0239,-2.4261,6.4643,-0.0153,fault
-0.0718,-0.1245,21.2845,-2.4567,9.4571,-3.2043,fault
2.8347,-0.0527,-0.1341,-2.5787,12.0907,-3.6621,fault
-0.0048,0.3208,-0.1245,-3.1738,13.0484,-3.6316,fault
-0.1341,0.3735,-0.0239,-2.594,7.422,-3.6621,fault
-0.0287,-0.1245,-0.1101,-2.8534,14.7243,-3.5858,fault
-0.0096,-0.1484,21.294,-3.1738,13.5272,-3.6926,fault
-0.0862,0.3208,21.1552,-2.7924,13.4075,-3.8452,fault
2.7821,-0.1532,-0.1341,-2.7161,9.3374,-3.6926,fault
2.7677,0.3831,21.2461,-2.3041,11.6119,-3.3875,fault
-0.1149,0.3256,-0.067,-2.6703,9.6965,-3.479,fault
-0.091,0.3448,-0.1053,-2.7466,10.7739,-3.6621,fault
2.5522,0.3496,-0.1532,-2.9602,13.4075,-3.6316,fault
2.8587,0.3831,21.2605,-2.6855,13.2878,-3.418,fault
-0.0096,-0.1437,-0.1484,-2.8229,11.971,-3.6926,fault
-0.0814,-0.1389,21.2845,-3.1281,13.0484,-3.5858,fault
-0.0862,0.3735,21.2797,-3.2959,11.8513,-3.8757,fault
2.7964,0.3065,-0.1293,-2.8229,11.4922,-3.3112,fault
-0.0958,0.3496,21.1887,-2.655,11.2527,-3.6163,fault
2.7629,0.3783,-0.1484,-2.7466,13.6469,-3.9062,fault
-0.067,0.3639,21.1695,-3.2043,10.6542,-3.6621,fault
-0.0096,0.3879,-0.0192,-3.1433,-14.2455,-3.7689,fault
-0.0958,0.4405,21.2366,-3.2196,10.7739,-3.7384,fault
2.7581,0.3974,21.2222,-2.7924,7.9009,-3.4332,fault
-0.0527,0.4549,-0.1101,-2.6093,11.7316,-3.5706,fault
2.7773,0.3831,21.16,-2.9755,8.0206,-3.5858,fault
2.7725,-0.1484,21.1743,-2.7161,9.5768,-3.2806,fault
-0.1389,0.4453,21.1791,-3.006,15.0835,-3.6926,fault
-0.1293,0.4022,21.2366,-2.5635,12.3301,-3.2654,fault
-0.0383,0.4501,20.9684,-2.8687,12.0907,-3.6926,fault
-0.0287,0.431,-0.1341,-3.1281,12.5696,-3.6774,fault
2.5809,0.407,21.2222,-3.2043,12.4498,-3.479,fault
-0.0048,0.3496,-0.1532,-2.7771,12.6893,-3.6926,fault
-0.067,0.4262,20.9828,-2.594,10.7739,-3.5553,fault
-0.0622,0.4022,-0.1053,-3.2806,-14.7243,-3.479,fault
-0.0718,0.3974,21.2174,-3.2654,13.0484,-3.5553,fault
-0.0239,0.4405,-0.0766,-2.4414,7.3023,-3.5858,fault
-0.0048,0.4022,21.1791,-3.1891,14.9638,-3.4332,fault
2.7581,0.3208,21.294,-2.9449,10.6542,-3.2806,fault
-0.0431,0.3735,21.227,-2.7771,11.133,-3.3569,fault
-0.1245,0.3831,21.2749,-2.182,7.422,-3.6469,fault
-0.1532,0.4357,-0.1293,-3.0365,12.809,-3.4637,fault
2.7773,0.431,-0.1245,-3.2196,14.6046,-3.6011,fault
-0.0431,0.4549,21.2797,-2.7924,12.5696,-3.479,fault
-0.0575,0.3543,21.2031,-2.8839,11.3725,-3.5858,fault
-0.0622,0.3639,21.1456,-2.4109,10.2951,-3.5553,fault
-0.0144,0.3831,21.1839,-2.3651,8.8585,-3.6621,fault
-0.0479,0.3496,-0.0718,-2.8381,9.5768,-0.0305,fault
-0.0527,0.4501,-0.1484,-2.3499,11.7316,-3.4485,fault
2.7629,0.3783,21.227,-2.8534,10.6542,-3.7079,fault
2.5905,-0.1532,-0.0096,-2.7618,8.7388,-3.3112,fault
-0.0335,0.4166,21.2366,-3.006,8.6191,-3.6163,fault
-0.1149,0.3879,-0.1437,-2.6093,9.6965,-3.3569,fault
-0.067,0.3783,-0.0814,-2.9297,13.6469,-3.7842,fault
2.7773,0.3879,21.2892,-3.1738,14.4849,-3.7231,fault
-0.0862,0.3496,-0.1341,-3.1586,-15.0835,-3.5248,fault
-0.0527,0.3304,21.2557,-3.2349,-12.0907,-3.4637,fault
2.6001,0.3735,21.1935,-3.1738,11.6119,-3.6011,fault
-0.1341,-0.1532,-0.0192,-2.8992,11.6119,-3.5858,fault
2.5953,0.431,21.2892,-2.8687,8.7388,-3.6163,fault
-0.0479,0.34,21.2126,-2.533,9.098,-3.6926,fault
2.8347,0.4405,21.2653,-2.6245,11.133,-3.6316,fault
-0.0766,0.4118,21.2892,-2.6855,9.8162,-3.6774,fault
-0.0192,-0.0192,21.2653,-2.8229,10.5345,-3.6621,fault
-0.0335,0.4214,21.16,-3.1128,13.6469,-3.3875,fault
-0.0718,0.3256,-0.0958,-3.0975,12.809,-3.479,fault
-0.1484,0.4166,21.1839,-2.9907,13.8864,-3.7079,fault
-0.1197,0.4405,-0.0144,-2.8839,8.4994,-3.6316,fault
2.7629,-0.0096,-0.0287,-2.6703,10.0556,-3.6163,fault
-0.1006,-0.0239,21.294,-2.3193,6.4643,-3.3722,fault
2.7916,0.4405,21.2031,-2.5787,9.8162,-3.5248,fault
